Id,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls_per90,Ast_per90,G-PK_per90,CrdY_per90,CrdR_per90,xG_per90,npxG_per90,xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,Sh_per90,SoT_per90,KP_per90,Tkl_per90,TklW_per90,Int_per90,Clr_per90,Err_per90,Touches_per90,Tkld_per90,Mis_per90,Dis_per90,Fls_per90,PKwon_per90,PKcon_per90,OG_per90,Recov_per90,GA_per90,Saves_per90,Save%_per90,CS_per90,PKA_per90,PKsv_per90,market_value_in_eur,x,y
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,25.0,2000.0,3,1,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0465116279069768,8.372093023255815,3.13953488372093,0.0,0.0,0.0,2.0930232558139537,2.0930232558139537,1.0465116279069768,0.0,0.0,76.3953488372093,1.0465116279069768,1.0465116279069768,0.0,0.0,0.0,0.0,0.0,7.325581395348838,0.0,0.0,0.0,0.0,0.0,0.0,16000000.0,-0.7675460634638022,-1.251357454321407
1,Max Aarons,eng ENG,MF,Valencia,es La Liga,25.0,2000.0,1,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.806451612903226,8.709677419354838,0.0,0.0,0.0,2.903225806451613,2.903225806451613,0.0,0.0,0.0,69.6774193548387,0.0,2.903225806451613,2.903225806451613,0.0,0.0,0.0,0.0,11.612903225806452,0.0,0.0,0.0,0.0,0.0,0.0,16000000.0,-0.523258082626589,-1.3605089850379752
2,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21.0,2003.0,1,1,65,0.0,0.0,0.0,1.3846153846153846,0.0,0.1384615384615384,0.1384615384615384,0.0,4.153846153846154,2.769230769230769,4.153846153846154,1.3846153846153846,0.0,0.0,4.153846153846154,2.769230769230769,1.3846153846153846,0.0,0.0,49.84615384615385,0.0,0.0,2.769230769230769,2.769230769230769,0.0,0.0,0.0,2.769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,,-0.09544629042928597,-0.4134451542729982
3,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,21.0,2004.0,6,0,88,0.0,0.0,0.0,1.0227272727272727,0.0,0.1022727272727272,0.1022727272727272,0.0,3.068181818181818,4.090909090909091,1.0227272727272727,1.0227272727272727,0.0,0.0,4.090909090909091,2.0454545454545454,1.0227272727272727,3.068181818181818,0.0,66.47727272727273,0.0,1.0227272727272727,3.068181818181818,4.090909090909091,0.0,0.0,0.0,7.159090909090909,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,-0.29681100688085404,-1.1002482721704183
4,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18.0,2006.0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,120.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.8598886295645696,-6.165084617713158
5,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,37.0,1987.0,12,11,976,0.0,0.0,0.0,0.1844262295081967,0.0,0.0184426229508196,0.0184426229508196,0.0092213114754098,0.3688524590163934,2.028688524590164,0.2766393442622951,0.1844262295081967,0.0922131147540983,0.1844262295081967,1.567622950819672,1.014344262295082,1.1987704918032789,5.163934426229508,0.0922131147540983,58.09426229508196,0.2766393442622951,0.7377049180327869,0.2766393442622951,1.475409836065574,0.0,0.0,0.0,3.872950819672131,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,-1.2456810436721368,-0.4700153829732707
6,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,25.0,1999.0,24,24,2132,0.2532833020637898,0.0422138836772983,0.1266416510318949,0.0844277673545966,0.0,0.2363977485928705,0.1013133208255159,0.1181988742964352,3.5881801125703565,6.75422138836773,3.925891181988743,0.9709193245778612,0.2532833020637898,1.2664165103189493,1.5196998123827392,1.0553470919324577,0.7598499061913696,0.8020637898686679,0.0422138836772983,65.22045028142588,2.026266416510319,1.6885553470919326,1.5196998123827392,1.5619136960600375,0.0,0.0,0.0,5.614446529080675,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,0.8088360786553977,-0.6464452625037725
7,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,26.0,1999.0,9,7,609,0.0,0.0,0.0,0.2955665024630541,0.0,0.0,0.0,0.0,0.2955665024630541,3.8423645320197046,0.4433497536945813,0.0,0.0,0.0,2.512315270935961,1.7733990147783252,1.9211822660098523,5.763546798029557,0.147783251231527,60.59113300492611,0.2955665024630541,0.2955665024630541,0.2955665024630541,0.5911330049261083,0.0,0.0,0.0,4.58128078817734,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,-1.3217831522250594,-0.8566149701320191
8,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31.0,1993.0,17,11,941,0.1912858660998937,0.1912858660998937,0.1912858660998937,0.0956429330499468,0.0,0.1147715196599362,0.1147715196599362,0.1339001062699256,2.5823591923485654,2.773645058448459,5.6429330499468655,1.5302869287991498,0.4782146652497343,1.2433581296493093,2.391073326248672,1.5302869287991498,1.0520722635494155,2.678002125398512,0.0,55.56854410201913,0.8607863974495219,1.9128586609989373,0.9564293304994688,1.5302869287991498,0.0,0.0,0.0,4.3039319872476085,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.6206158865005793,-0.30189150431644507
9,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25.0,1999.0,4,2,205,0.0,0.4390243902439024,0.0,0.0,0.0,0.0,0.0,0.0878048780487805,2.1951219512195124,3.951219512195122,11.414634146341465,0.4390243902439024,0.0,0.8780487804878049,1.3170731707317074,0.8780487804878049,0.8780487804878049,0.0,0.0,68.92682926829268,0.8780487804878049,2.1951219512195124,0.4390243902439024,0.8780487804878049,0.0,0.4390243902439024,0.0,1.3170731707317074,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,-0.34455533414093364,-0.7823837168349975
